[2022-10-08T11:32:17.526+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_dag.print_hey scheduled__2022-10-08T00:10:00+00:00 [queued]>
[2022-10-08T11:32:17.537+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_dag.print_hey scheduled__2022-10-08T00:10:00+00:00 [queued]>
[2022-10-08T11:32:17.537+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-08T11:32:17.537+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 1
[2022-10-08T11:32:17.537+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-08T11:32:17.556+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): print_hey> on 2022-10-08 00:10:00+00:00
[2022-10-08T11:32:17.564+0000] {standard_task_runner.py:54} INFO - Started process 24813 to run task
[2022-10-08T11:32:17.566+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'my_dag', 'print_hey', 'scheduled__2022-10-08T00:10:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/my_dag.py', '--cfg-path', '/tmp/tmpy8pizlne']
[2022-10-08T11:32:17.613+0000] {standard_task_runner.py:83} INFO - Job 35: Subtask print_hey
[2022-10-08T11:32:17.613+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/my_dag.py
[2022-10-08T11:32:17.632+0000] {dagbag.py:427} ERROR - Failed to bag_dag: /opt/***/dags/my_dag.py
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.7/site-packages/airflow/timetables/_cron.py", line 88, in validate
    croniter(self._expression)
  File "/home/airflow/.local/lib/python3.7/site-packages/croniter/croniter.py", line 166, in __init__
    self.expanded, self.nth_weekday_of_month = self.expand(expr_format, hash_id=hash_id)
  File "/home/airflow/.local/lib/python3.7/site-packages/croniter/croniter.py", line 778, in expand
    return cls._expand(expr_format, hash_id=hash_id)
  File "/home/airflow/.local/lib/python3.7/site-packages/croniter/croniter.py", line 624, in _expand
    raise CroniterBadCronError(cls.bad_length)
croniter.croniter.CroniterBadCronError: Exactly 5 or 6 columns has to be specified for iterator expression.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.7/site-packages/airflow/models/dagbag.py", line 424, in _process_modules
    dag.validate()
  File "/home/airflow/.local/lib/python3.7/site-packages/airflow/models/dag.py", line 645, in validate
    self.timetable.validate()
  File "/home/airflow/.local/lib/python3.7/site-packages/airflow/timetables/_cron.py", line 90, in validate
    raise AirflowTimetableInvalid(str(e))
airflow.exceptions.AirflowTimetableInvalid: Exactly 5 or 6 columns has to be specified for iterator expression.
[2022-10-08T11:32:18.039+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_entry_group>, delete_entry_group already registered for DAG: example_complex
[2022-10-08T11:32:18.040+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_entry_group>, create_entry_group already registered for DAG: example_complex
[2022-10-08T11:32:18.040+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_entry_gcs>, delete_entry already registered for DAG: example_complex
[2022-10-08T11:32:18.040+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_entry>, create_entry_gcs already registered for DAG: example_complex
[2022-10-08T11:32:18.041+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_tag>, delete_tag already registered for DAG: example_complex
[2022-10-08T11:32:18.041+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_tag>, create_tag already registered for DAG: example_complex
[2022-10-08T11:32:18.046+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:32:18.046+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:32:18.046+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:32:18.046+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:32:18.047+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
